"['盘龙', '昆明湖公园']",融城昆明湖,175,14270,"['3室2厅2卫', '中楼层 (共32层)', '122.64㎡', '暂无数据', '暂无数据', '东南', '未知结构', '毛坯', '一梯三户']"
"['盘龙', '世博']",云南映象城市公园广场,165,13984,"['3室1厅2卫', '低楼层 (共30层)', '118㎡', '平层', '板楼', '东南', '钢混结构', '精装', '两梯两户', '有']"
"['官渡', '新亚洲']",万科魅力之城,170,13179,"['4室2厅2卫', '低楼层 (共34层)', '129㎡', '暂无数据', '塔楼', '南', '钢混结构', '其他', '两梯七户', '有']"
"['西山', '书林']",金帝富士商住楼,120,19030,"['3室2厅2卫', '中楼层 (共22层)', '63.06㎡', '暂无数据', '暂无数据', '东南', '未知结构', '其他', '一梯十五户']"
"['官渡', '新亚洲']",居安园,68,9916,"['2室2厅1卫', '高楼层 (共17层)', '68.58㎡', '暂无数据', '暂无数据', '南', '钢混结构', '其他', '一梯五户']"
"['西山', '大商汇']",新希望观澜汇,220,15385,"['4室2厅2卫', '低楼层 (共30层)', '143㎡', '暂无数据', '板楼', '东南 南', '钢混结构', '其他', '一梯四户']"
"['官渡', '昆明站']",福发路31号,67,12118,"['2室2厅1卫', '中楼层 (共6层)', '55.29㎡', '暂无数据', '暂无数据', '东 西', '砖混结构', '其他', '一梯两户']"
"['安宁', '太平新城']",花样年德商好未来,36,4557,"['2室2厅1卫', '中楼层 (共11层)', '79㎡', '暂无数据', '暂无数据', '东南', '未知结构', '其他', '一梯三户']"
"['盘龙', '世博']",云南映象城市公园广场,140,16868,"['2室2厅1卫', '中楼层 (共25层)', '83㎡', '暂无数据', '板楼', '南', '钢混结构', '其他', '三梯八户', '有']"
"['盘龙', '世博']",俊发盛唐城,106,13087,"['2室2厅1卫', '高楼层 (共44层)', '81㎡', '暂无数据', '81㎡', '塔楼', '东南', '钢混结构', '毛坯', '三梯九户', '有']"
"['官渡', '滇池半岛']",滇池俊府,450,34587,"['4室2厅3卫', '低楼层 (共8层)', '130.11㎡', '暂无数据', '板楼', '东南', '钢混结构', '毛坯', '四梯两户', '有']"
"['呈贡', '经开区']",建工新城锦绣园,155,10723,"['4室2厅2卫', '中楼层 (共11层)', '144.55㎡', '平层', '板楼', '东南', '框架结构', '其他', '一梯四户', '有']"
"['官渡', '吴井']",广合苑,136,10226,"['3室2厅2卫', '高楼层 (共8层)', '133㎡', '暂无数据', '板楼', '南 北', '框架结构', '其他', '一梯两户']"
"['五华', '泛亚']",中晟溪城,100,11771,"['2室2厅1卫', '中楼层 (共18层)', '84.96㎡', '暂无数据', '板塔结合', '南', '钢混结构', '其他', '两梯八户', '有']"
"['盘龙', '世博']",印象·首日封,650,17334,"['6室3厅4卫', '低楼层 (共3层)', '375㎡', '南 北', '钢混结构', '其他', '双拼']"
"['西山', '西苑']",兰亭上锦,145,16293,"['3室2厅1卫', '高楼层 (共34层)', '89㎡', '暂无数据', '塔楼', '东南', '钢混结构', '精装', '两梯六户', '有']"
"['官渡', '滇池半岛']",昆明恒大云玺,1100,41354,"['8室3厅4卫', '低楼层 (共1层)', '266㎡', '东南 南 西南', '砖混结构', '其他', '联排']"
"['西山', '大商汇']",蓝光COCO蜜城,130,19697,"['3室2厅1卫', '高楼层 (共27层)', '66㎡', '暂无数据', '塔楼', '西北', '钢混结构', '精装', '两梯六户', '有']"
"['西山', '西山万达']",润城五区,360,20176,"['5室2厅3卫', '高楼层 (共26层)', '178.43㎡', '暂无数据', '板塔结合', '东南', '钢混结构', '精装', '三梯两户', '有']"
"['官渡', '新亚洲']",新亚洲体育城水晶堡,128,15610,"['3室2厅1卫', '高楼层 (共6层)', '82㎡', '暂无数据', '板楼', '南 北', '钢混结构', '精装', '一梯两户']"
"['官渡', '滇池半岛']",滇池俊府,320,25363,"['4室2厅3卫', '高楼层 (共8层)', '126.17㎡', '暂无数据', '板楼', '东南', '钢混结构', '毛坯', '两梯两户', '有']"
"['盘龙', '东白沙河']",中海云麓九里,245,18570,"['5室2厅3卫', '中楼层 (共4层)', '131.94㎡', '112.28㎡', '南', '未知结构', '毛坯', '叠拼']"
"['官渡', '空港']",长水航城,50,5185,"['3室2厅1卫', '高楼层 (共9层)', '96.44㎡', '暂无数据', '80.26㎡', '板塔结合', '西', '钢混结构', '简装', '一梯六户']"
"['盘龙', '世博']",油漆厂家属院,82,11233,"['3室2厅1卫', '中楼层 (共7层)', '73㎡', '暂无数据', '暂无数据', '南 北', '混合结构', '简装', '一梯两户']"
"['五华', '高新']",西城时代,38,7716,"['1室0厅1卫', '中楼层 (共38层)', '49.25㎡', '暂无数据', '塔楼', '西', '钢混结构', '其他', '六梯二十四户', '有', '商水', '商电']"
"['五华', '高新']",西城时代,70,16687,"['1室0厅1卫', '高楼层 (共29层)', '41.95㎡', '平层', '塔楼', '南', '钢混结构', '其他', '四梯十三户', '有']"
"['盘龙', '北部客运站']",中建龙熙壹号,139,12087,"['3室1厅2卫', '高楼层 (共11层)', '115㎡', '平层', '板楼', '南 北', '钢混结构', '毛坯', '一梯两户']"
"['呈贡', '经开区']",保利阳光城翡丽公园,110,11225,"['3室2厅2卫', '中楼层 (共25层)', '98㎡', '暂无数据', '板楼', '西南', '砖混结构', '其他', '两梯六户', '有']"
"['盘龙', '昆明湖公园']",融城昆明湖,138,11405,"['3室2厅2卫', '中楼层 (共33层)', '121㎡', '暂无数据', '板塔结合', '东南', '钢混结构', '精装', '三梯八户', '有']"
"['西山', '棕树营']",保利六合,165,21376,"['2室2厅1卫', '低楼层 (共34层)', '77.19㎡', '暂无数据', '塔楼', '北', '钢混结构', '其他', '两梯八户', '有']"
"['呈贡', '呈贡']",金茂国际新城,90,10113,"['3室2厅1卫', '中楼层 (共28层)', '89㎡', '暂无数据', '板塔结合', '东南', '钢混结构', '其他', '一梯四户']"
"['盘龙', '新迎']",新迎小区南组团,70,12069,"['2室1厅1卫', '高楼层 (共7层)', '58㎡', '平层', '暂无数据', '东南', '未知结构', '其他', '一梯四户']"
"['呈贡', '经开区']",建工新城锦绣园,180,12588,"['4室2厅2卫', '中楼层 (共11层)', '143㎡', '暂无数据', '板楼', '南', '钢混结构', '其他', '一梯两户', '有']"
"['西山', '西山万达']",润城五区,210,17949,"['3室2厅2卫', '高楼层 (共33层)', '117㎡', '暂无数据', '板塔结合', '东 东南 南', '钢混结构', '其他', '三梯五户', '有']"
"['五华', '红云']",中海锦苑,102,13600,"['2室1厅1卫', '中楼层 (共44层)', '75㎡', '平层', '塔楼', '南 北', '钢混结构', '精装', '两梯六户', '有']"
"['盘龙', '世博']",印象·首日封,170,13878,"['3室2厅2卫', '低楼层 (共9层)', '122.5㎡', '暂无数据', '板楼', '南 北', '钢混结构', '简装', '一梯两户', '有']"
"['盘龙', '世博']",云南映象花好月圆,126,14072,"['3室2厅1卫', '高楼层 (共18层)', '89.54㎡', '暂无数据', '塔楼', '东南', '钢混结构', '精装', '一梯三户', '有']"
"['官渡', '昆明站']",福德苑小区,68,11201,"['2室1厅1卫', '高楼层 (共7层)', '60.71㎡', '暂无数据', '暂无数据', '南 北', '未知结构', '精装', '一梯三户']"
"['呈贡', '呈贡']",涌鑫昆明之窗,36,9231,"['1室1厅1卫', '高楼层 (共31层)', '39㎡', '暂无数据', '塔楼', '南', '钢混结构', '其他', '六梯五十二户', '有', '商水', '商电']"
"['安宁', '安宁老城']",盛世锦院,74,6916,"['3室2厅2卫', '低楼层 (共18层)', '107㎡', '暂无数据', '暂无数据', '西南', '未知结构', '简装', '一梯六户']"
"['官渡', '金马']",金马悦城,192,12973,"['4室2厅2卫', '高楼层 (共32层)', '148㎡', '暂无数据', '塔楼', '南', '钢混结构', '其他', '三梯十户', '有']"
"['五华', '丰宁']",熙城,45,10000,"['1室1厅1卫', '中楼层 (共29层)', '45㎡', '暂无数据', '塔楼', '北', '钢混结构', '其他', '四梯二十二户', '有']"
